liste;ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s)
Expert;40854;Mariposas;;2020;basegame;3421272327812;39,9;"2 — 5";"45 — 75";14+;français;;Mariposas;"Jeu de plateau";Animaux,Écologie,Insectes,Papillons;Collection,Déplacement;Gigamic;"Elizabeth Hargrave";"Indi Maverick,Matt Paquette"
Famille;80750;"Flip 7";;2025;basegame;3760273010461;15;3+;20;8+;français;;"Flip 7";"Jeu de Cartes";Chiffres;"Chance & Hasard,Combinaison,Prise de risque,Stop ou encore";"Catch Up Games,The OP";"Eric Olsen";"O'neil Mabile"
"Nouveautés 2025";91452;"Butterfly Effect - Le Manoir De Hill Sing";;2025;basegame;3760371751259;0;"1 — 6";"90 — 120";12+;français;;"Butterfly Effect";"Jeu de Cartes";"Fantômes & Esprits";Coopération,Narration,Roleplay,Solo;"La Boite De Jeu";"Quentin Guidotti";"Miguel Coimbra"
"Nouveautés 2025";62286;"Escape Game Pocket - Enigmes et jeux de réflexion pour les enfants";;2022;basegame;8005125525423;7,99;"1 — 6";"30 — 60";8+;français;;"Escape game pocket";"Escape Game";"Enquêtes & Mystères";Déduction,Énigme,Logique,Observation,Roleplay;Clementoni;"Francesco Berardi";"Massimo Di Leo"
"Nouveautés 2025";59767;"Cartaventura Odyssée - Le trésor de Libertalia";;2022;basegame;3770005767396;15,29;"1 — 6";20;6+;français;;"Cartaventura,Cartaventura Odyssée";"Jeu de Cartes";Aventure,Exploration,Pirates;Narration,Scénarios;"Blam !";"Ophélie Gibert,Thomas Dupont";"Guillaume Bernon,Jeanne Landart"
"Nouveautés 2025";83753;"Backstories - L'Embrasement";;2026;basegame;3760371751235;18;"1 — 6";60;14+;français;;Backstories;"Jeu de Cartes";"Enquêtes & Mystères";"Choix multiples,Coopération,Déduction,Manipulation,Narration,Scénarios";"La Boite De Jeu";"Anthony Perone,Jules Messaud";"Cyrille Bertin"
"Nouveautés 2025";91268;"IQ Carat";;2025;basegame;5414301527183;0;Solo;"15 — 30";14+;français;;IQ;Casse-tête;Abstrait,Bijoux;Logique,Manipulation,Observation,Puzzle;"Smart Games";;
"Nouveautés 2025";86511;"Mon Puzzle Aventure - Phobos";;2025;basegame;9782492939129;18,9;Solo;"30 — 60";"5 — 10";français;;"Mon Puzzle Aventure";Puzzle;"Aventure,Espace,Robots & Mechas";Logique,Observation,Puzzle;"Game Flow";"Antonin Boccara,Romaric Galonnier";"Arnaud Boutle"
"Nouveautés 2025";82267;"Spy Guy - Aventure D'hiver";;2025;standalone;5900511026399;17;"1 — 4";20;5+;français,anglais,allemand,espagnol,italien,néerlandais;;"Spy Guy";"Jeu de plateau";"Enquêtes & Mystères";Coopération,Observation;Trefl;"Mariusz Majchrowski";"Michat Ambrzykowski,Tatsiana Korbut"
"Nouveautés 2025";73779;"Story Box - Rêves et Cauchemars";;2024;basegame;3760308480481;13;"2 — 8";15;8+;français;;"Dream on !,Story Box";"Jeu de Cartes";Onirique;"Construction Narrative,Mémorisation";"Tiki Editions";"Alexandre Droit,Julien Prothière";"Victor Dulon"
"Nouveautés 2025";91486;"Unlock! Short Adventures - Le Cœur De L'océan";;2025;basegame;3558380136408;0;"1 — 6";30;10+;français;;"Unlock!,Unlock! Short Adventures";"Escape Game";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Logique,Observation,Roleplay;"Space Cowboys";"Cyril Demaegd,Germain Winzenschtark,Lauranne Boivin";"Crocotame Studio"
"Nouveautés 2025";74980;"Echoes - Le Croc";"Jeu D'enquête Audio";2024;basegame;4005556223848;10;"1 — 4";60;14+;français;;Echoes;"Jeu D'Enquête";"Enquêtes & Mystères";Déduction,Son;Ravensburger;"Dave Neale";"Samuel Bourguignon"
"Nouveautés 2025";88635;"Echoes - Le Médaillon";"Jeu D'enquête Audio";2025;basegame;4005556228867;12;"1 — 4";"40 — 60";14+;français;;Echoes;"Jeu D'Enquête";"Enquêtes & Mystères";Déduction,Son;Ravensburger;"Dave Neale,Matthew Dunstan";"Harnickell Design,Samuel Bourguignon"
"Nouveautés 2025";84585;"Echoes - Le Titanic";;2025;basegame;4005556247394;10,5;"1 — 4";"40 — 60";14+;français;;Echoes;"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction;Ravensburger;"Dave Neale,Matthew Dunstan";"Harnickell Design,Samuel Bourguignon"
"Nouveautés 2025";59409;"Echoes - L'Anneau";"Jeu d'enquête audio";2022;basegame;4005556209323;10,5;"1 — 6";60;14+;français;;Echoes;"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction;Ravensburger;"Dave Neale,Matthew Dunstan";"Samuel Bourguignon"
"Nouveautés 2025";67418;"Huis Clos - Le Manoir Winsbury";"Saison 1";2022;basegame;7421094523030;23,75;"1 — 6";"30 — 60";14+;français;;"Huis Clos";"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction,Scénarios;"Ôz Editions,Riviera Games";"Florent Wilmart,Pierre Christen";"Jules Dubost"
LOKI;85350;"Joyeux Bazar";;2025;basegame;3701551703835;15,9;"1 — 5";10;3+;français;;;"Jeu d'Observation";"Enfants,Jouets,Vie quotidienne";"Association d'idées,Observation";Loki;"Corentin Lebrat,Jonathan Favre-Godal";"Henk Van Der Gugten"
LOKI;89079;"Le Miniz Club";;2025;basegame;3701551704528;16;"1 — 4";"15 — 46";4+;français;;;"Jeu D'Enquête";Animaux;Coopération;Loki;"Dave Neale";"Yogesh Mahajan"
"Petite Enfance";23795;"Little Action";;2016;basegame;3070900085572;18;"2 — 4";10;"2 — 5";français,anglais,allemand,espagnol;;"Little Djeco";"Jeu d'Ambiance";Animaux;"Adresse & Dextérité,Défis";Djeco;;
"Casse/ Perte";22438;"La Marche des Pingouins";;2015;basegame;5414301518051;9;Solo;15;5+;français;;"Travel Magnetic Games";"Casse-tête,Jeu de plateau,Jeu de tuiles";"Abstrait,Animaux,Formes,Pingouins & Manchots";"Construction,Déduction,Défis,Logique,perception visuelle,Placement de tuiles,Puzzle,Réflexion,Solo";"Smart Games";"Raf Peeters";
Puzzles;78666;"Puzzle - Chez nut";;2014;basegame;3070900014817;22;Solo;"10 — 30";2+;français;;;Puzzle;Animaux;Logique,Observation,Puzzle;Djeco;;"Géraldine Cosneau"
Puzzles;93072;"Puzzle - Pirate";"36 Pièces";2021;basegame;3700217329228;18,99;Solo;"5 — 20";4+;français;;;Puzzle;Pirates;Logique,Observation,Puzzle;Janod;;
Puzzles;39777;"Puzzle Silhouette - Edmond le Dragon";"24 Pièces";2019;basegame;3070900072145;10,9;Solo;10;3+;français;;"Puzzle Silhouette";Puzzle;Dragons;"Association d'idées,Observation,Puzzle,Solo";Djeco;;
Puzzles;47129;"Puzzle Silhouette - Pachat et ses amis";"24 Pièces";2015;basegame;3070900072077;11,5;Solo;15;3+;français;;"Puzzle Silhouette";Puzzle;Animaux,Chats;"Association d'idées,Observation,Puzzle,Solo";Djeco;;
Puzzles;67831;"Puzzle Silhouette - La Balade Du Tigre";"24 pièces";2022;basegame;3070900072015;12,5;Solo;"30 — 60";6+;français;;"Puzzle Silhouette";Puzzle;Animaux,Jungle,Tigres;Logique,Observation,Puzzle;Djeco;;"Simona Mulazzani"
"Ludique Educatif";49766;"Kidikoi : Ca se fait/ Ca se fait pas & Possible/Pas possible";;2015;basegame;;21;"2 — 8";10;8+;français;;Kidikoi;"Jeu De Connaissances";"Culture générale";"Questions & Réponses";Valorémis;;
"Ludique Educatif";49357;"Kidikoi : juste/pas juste & d'accord/pas d'accord ?";;2015;basegame;;21;"2 — 8";10;8+;français;;Kidikoi;"Jeu De Connaissances";"Culture générale";"Déduction,Logique,Questions & Réponses";Valorémis;;
Puzzles;47131;"Magnetic's - Coucou Jungle";;2017;basegame;3070900031180;15,9;Solo;10;3+;français;;Magnetic's;"Jeu D'Éveil,Jeu Éducatif,Puzzle";Animaux;"Association d'idées,Magnétique,Observation,Puzzle,Solo";Djeco;;
Puzzles;23828;"La petite école - Couleurs et Formes";;2013;basegame;8410446314029;10;"1 — 4";15;"2 — 4";français;;"La petite école";"Jeu Éducatif";Couleurs,Formes;Combinaison,Observation;Nathan;;
Puzzles;91059;"Ma Mallette Loup - Au Pays Des Contes";;2016;basegame;9782733844861;14,95;"2 — 4";"30 — 60";3+;français;"P'tit Loup";;"Jeu D'Éveil";"Contes,Littérature Enfantine";Observation,Puzzle;Auzou;;
"Petite Enfance";91059;"Ma Mallette Loup - Au Pays Des Contes";;2016;basegame;9782733844861;14,95;"2 — 4";"30 — 60";3+;français;"P'tit Loup";;"Jeu D'Éveil";"Contes,Littérature Enfantine";Observation,Puzzle;Auzou;;
Ambiance;8575;"Cranium Junior";;2007;basegame;5010994505868;25;"2 — 4";30;"7 — 12";français;;Cranium;"Jeu de Cartes";"Humour,Vie quotidienne";"Créativité & Imagination,Déduction,Dessin,Mime,Observation,Sculpture";Cranium;;
Puzzles;78212;"MicroMacro Puzzle - Funfair";"500 Pièces";2024;basegame;3770033532126;19;"1 — 4";"15 — 45";10+;français;;"MicroMacro Crime City";"Jeu d'Observation,Puzzle";"Criminalité,Enquêtes & Mystères,Objets,Vie quotidienne,Ville";Coopération,Déduction,Logique,Observation,Puzzle,Scénarios;Spielwiese;"Johannes Sich";"Hard Boiled Games"
Puzzles;79931;"Mon Puzzle Aventure - Terre Ocre";;2024;basegame;9782492939143;18,9;Solo;30;"5 — 10";français;;"Mon Puzzle Aventure";Puzzle;Aventure,Fantastique;Logique,Observation,Puzzle;"Game Flow";"Antonin Boccara,Fabrice Lamouille,Mathilde Malburet,Romaric Galonnier";"Thibaut Kraeber"
Puzzles;71277;"Puzzle - Drôles D'Animaux";"27 pièces";2015;basegame;3070900015517;0;Solo;10;"2 — 5";français,anglais,allemand,espagnol;;;Puzzle;Animaux;Logique,Observation,Puzzle;Djeco;;
"Casse/ Perte";1810;"Gruyère Party";;2014;basegame;5414301517412;9,9;Solo;"5 — 15";6+;français;;"Travel Magnetic Games";"Casse-tête,Jeu de tuiles";Alimentation,Animaux,Souris;"Construction,Déduction,Défis,Logique,Magnétique,perception visuelle,Placement de tuiles,Réflexion,Solo";"Smart Games";"Raf Peeters";
Puzzles;24212;"Petit Ours Brun - Mon Premier Puzzle à Toucher - Les Animaux";;2017;basegame;9782747081061;11,5;Solo;"5 — 10";1+;français;"Petit Ours Brun";"Mon Premier Puzzle à toucher";Puzzle;"Littérature Enfantine";Observation,Puzzle;Bayard;;"Danièle Bour"
"Casse/ Perte";24197;"Speed Colors";;2017;basegame;4650000321702;13,5;"2 — 5";30;5+;français;;"Speed Colors";"Jeu d'Ambiance";Couleurs;"Adresse & Dextérité,Mémorisation";"Lifestyle Boardgames";"Erwan Morin";"Robin Rossigneux"
Puzzles;2654;"Puzzle Battle - Chats";;2013;basegame;;0;Duo;10;5+;français;;"Puzzle Battle";"Jeu de Cartes,Puzzle";Chats;"Affrontement Direct,Puzzle,Rapidité";"Editions Rosebud";"Pierre Burtel";"Alessandra Fusi"
Puzzles;2653;"Puzzle Battle - Oiseaux";;2013;basegame;;0;Duo;"15 — 30";5+;français;;"Puzzle Battle";"Jeu de Cartes";;;"Editions Rosebud";"Pierre Burtel";"Coralie Saudo"
"Casse/ Perte";1417;"Paf Muraille";;2014;basegame;0376017511752;26;"1 — 4";15;5+;français;;;"Jeu D'Adresse";Médiéval;"Adresse & Dextérité";Iello,Mindware;;
"Casse/ Perte";4406;"Perplexus - Original";;2011;basegame;0778988058299;25;Solo;30;6+;français;;Perplexus;"Casse-tête,Jeu D'Adresse";Abstrait,Labyrinthe;"Adresse & Dextérité,Observation,Parcours,perception visuelle";Iello;"Michael Mcguinnis";
"Casse/ Perte";39797;"Perplexus - Rookie";;2013;basegame;;20;Solo;"15 — 30";8+;français;;Perplexus;"Casse-tête,Jeu de billes";Abstrait;"Adresse & Dextérité,Logique,Manipulation,Observation,Puzzle";Plasmart;"Michael Mcguinnis";
"Casse/ Perte";3219;"Perplexus - Rookie";;2012;basegame;;20;Solo;"15 — 30";8+;français;;Perplexus;"Casse-tête,Jeu de billes";Abstrait;"Adresse & Dextérité,Logique,Manipulation,Observation,Puzzle";Iello,Plasmart;"Michael Mcguinnis";
"Casse/ Perte";4212;"La Guerre des Moutons";;2002;basegame;3558380000235;20;"2 — 4";30;7+;français;;"La Guerre Des Moutons";"Jeu de plateau";Animaux,Chasse,Loups,Moutons;"Bluff,Gestion de main,Placement de tuiles";Asmodee,Lui-Même;"Philippe Des Pallières";"François Bruel"
Puzzles;33556;Tortustick;;2010;basegame;;21;Solo;15;"3 — 5";français;;;"Jeu D'Adresse";Animaux;"Adresse & Dextérité";Djeco;;
Puzzles;40061;"Les contraires";;2005;basegame;4005556240296;9,9;"1 — 4";10;"2 — 6";français;;"Les contraires";"Jeu de Cartes";;Puzzle;Ravensburger;;
Puzzles;38799;"Maman et Ses Petits";;2016;basegame;4005556240234,4005556243129;11,99;"1 — 4";"10 — 15";"2 — 5";français;;"Maman et Ses Petits";"Jeu Éducatif";Animaux;Puzzle;Ravensburger;;
Puzzles;3864;ABC;;2012;basegame;;9;"1 — 4";10;"3 — 6";français;;ABC;"Jeu De Connaissances";Lettres;"Questions & Réponses,Solo";Ravensburger;;
"Casse/ Perte";22873;"La Fête des Ombres";;2012;basegame;4010168057729;40;"2 — 4";20;4+;français;;;"Jeu de plateau";Contes,Fête;;Haba;"Kai Haferkamp";"Marc Robitzky"
"Casse/ Perte";39624;"Happy Cats";;2020;basegame;9001890663994;13,95;"2 — 4";30;7+;français;;"Happy Cats";"Jeu de Cartes";Animaux,Chats;"Collection,Gestion de main,Jet De Dés";Piatnik;"Wolfgang Dirscherl";
Puzzles;47758;1,2,3;;2005;basegame;4005556240456;9,9;"1 — 4";10;"3 — 6";français;;"1, 2, 3...";"Jeu Éducatif";Animaux,Chiffres,Mathématiques;Calcul,Puzzle,Solo;Ravensburger;;
"Casse/ Perte";26027;"Abra Kazam!";;2018;basegame;3770005388089;19,9;"3 — 8";15;7+;français;;;"Jeu d'Ambiance,Jeu de Cartes";"Fantastique,Fantômes & Esprits,Magie & Sorcellerie";"Adresse & Dextérité,Communication Restreinte,Créativité & Imagination,Défis";"Buzzy Games";"Antonin Boccara";"Jules Dubost"
Puzzles;48638;"Match It! Shape Shuffle";;2009;basegame;;0;"2 — 4";10;3+;anglais;;;Puzzle;Abstrait,Formes;"Association d'idées,Puzzle";"The Learning Journey";;
"Casse/ Perte";39890;"Mémotager - Jour de récolte";;2019;basegame;3048700021618;29,9;"2 — 6";15;"3 — 7";français;;Memory;"Jeu de Cartes";"Fruits & légumes,Jardinage";"Association d'idées,Collection,Mémorisation,Observation";Vilac;;
"Casse/ Perte";56744;"Mini Baby-Foot";;2015;basegame;3700217320706;33,99;Duo;10;"3 — 8";français,anglais;;Baby-foot;"Jeu D'Adresse";Football,Sports;"Adresse & Dextérité";Janod;;
"Casse/ Perte";27222;"Detective Club";;2019;basegame;3770000282184;29,9;"4 — 8";45;8+;français,anglais,allemand;;"Detective Club";"Jeu d'Ambiance,Jeu de Cartes";Humour;Bluff,Déduction,Énigme,Narration,Semi-coopération,Vote;Igames;"Oleksandr Nevskiy";"M81 Studio"
"Casse/ Perte";54923;"Le Lynx Nomade";;2015;basegame;8412668162488;19,9;"2 — 8";30;4+;français;;;"Jeu de plateau";;"Observation,Plateau modulaire";Educa;;
"Casse/ Perte";60694;"Hippo Gloutons";;2006;basegame;5023117671654;12;"2 — 4";10;4+;français;;"Hippos Gloutons";;;;MB;;
Puzzles;61091;"Magnetic Shapes Box";;2012;basegame;8416040163384;39;Solo;10;"3 — 7";anglais,espagnol;;;"Jeu D'Éveil";;"Association d'idées,Magnétique,Observation";"Andreu Toys";;
Puzzles;61602;"Cubes à idées";;2009;basegame;5011666010413;0;Solo;15;3+;français;;"Cubes à idées";Puzzle;Couleurs,Formes;"Association d'idées,Logique,Observation,Puzzle";Tomy;;
Puzzles;46198;"Escape Puzzle Kids - Le parc d'attractions";;2021;basegame;4005556129362;19;Solo;60;9+;français;;"Escape Puzzle";Casse-tête,Puzzle;"Parc d'attractions";Logique,Observation,Puzzle,Réflexion,Solo;Ravensburger;;
Puzzles;48676;"Escape Puzzle Kids - Une Nuit au Musée";;2020;basegame;4005556129355;14,9;Solo;"30 — 60";9+;français;;"Escape Puzzle";Puzzle;Arts;Logique,Observation,Puzzle;Ravensburger;"Johannes Schiller";
Puzzles;36228;"Escape Puzzle - Sous l'eau";;2018;basegame;4005556199594;14,9;"1 — 4";60+;12+;français,anglais,allemand,espagnol;;"Escape Puzzle";Puzzle;Animaux,Maritime;Logique,Observation,Puzzle,Réflexion;Ravensburger;;
Puzzles;63698;"Circuit à billes Tubulea";;2015;basegame;4056232663823;12,99;Solo;10;"3 — 7";français;;;"Jeu D'Adresse";Abstrait;Motricité;Playtive;;
Puzzles;59208;"Domino des animaux";;2013;basegame;8410446310380;0;"2 — 4";"15 — 30";"2 — 8";français;;Dominos;"Jeu de tuiles";Animaux;"Association d'idées,Cascade De Dominos,Combinaison,Connexion";Nathan;;
Puzzles;48012;"Escape Puzzle Kids - Safari dans la jungle";"368 pièces";2021;basegame;4005556129348;14,9;Solo;30;9+;français;;"Escape Puzzle";"Escape Game,Puzzle";Animaux,Jungle;Logique,Observation,Puzzle;Ravensburger;"Johannes Schiller";
Puzzles;33022;"Qui fait quoi?";;2010;basegame;;0;"1 — 3";10;"3 — 6";français;;"J'associe des mots !";"Jeu D'Éveil";"Métiers,Vie quotidienne";"Association d'idées,Puzzle";"Fnac Éveil&jeux";;
Puzzles;52042;"Mallette Geoform";;2020;basegame;;30;Solo;10;"4 — 8";français;;Tangram;"Jeu D'Éveil,Puzzle";Formes;"Défis,Logique,Magnétique,Observation,perception visuelle,Puzzle,Réflexion";Djeco;;
Puzzles;38821;"Escape Puzzle - Licorne";;2020;basegame;4005556165124;14,9;Solo;60;8+;français;;"Escape Puzzle";"Escape Game,Puzzle";Licornes;Logique,Observation,Puzzle;Ravensburger;;
Puzzles;63879;"PuzzLegend - Sherlock Holmes";;2023;basegame;3770000904055;7;"1 — 2";30;8+;français;"Sherlock Holmes";PuzzLegend;"Casse-tête,Jeu de Cartes";"Enquêtes & Mystères";Combinaison,Coopération,Déduction,Logique,Observation,Puzzle;"Blue Orange";"Yoann Levet";"Elise Catros"
Puzzles;63882;"PuzzLegend - Merlin";;2023;basegame;3770000904031;7;"1 — 2";30;8+;français;"Légende Arthurienne";PuzzLegend;"Casse-tête,Jeu de Cartes";"Enquêtes & Mystères,Fantastique";Combinaison,Coopération,Logique,Observation,Puzzle;"Blue Orange";"Yoann Levet";"Jérémie Cansado"
Puzzles;63884;"PuzzLegend - Robinson";;2023;basegame;3664824001918;7;"1 — 2";30;8+;français;;PuzzLegend;"Casse-tête,Jeu de Cartes";"Enquêtes & Mystères,Les îles";Combinaison,Coopération,Logique,Observation,Puzzle;"Blue Orange";"Yoann Levet";"Jérémie Cansado"
Puzzles;59352;"Escape Puzzle - Dans le château du vampire";"759 Pièces";2020;basegame;4005556199556;21,5;Solo;60;12+;français,anglais,allemand,espagnol;;"Escape Puzzle";Puzzle;Vampire;Logique,Observation,Puzzle,Réflexion;Ravensburger;;
Puzzles;32546;"puzzle party";;2017;basegame;;7,9;"2 — 5";15;3+;français;;;"Jeu de Cartes";Animaux;"Association d'idées,Observation,Puzzle";Janod;;
Puzzles;28660;"Domino Puzzle - Animaux";;2013;basegame;3070900081659;6,9;"1 — 4";15;3+;français;;Dominos;;Animaux;"Cascade De Dominos,Puzzle";Djeco;;
Puzzles;39834;"Puzzle Duo Chiffres";;2003;basegame;3070900081512;7,99;"1 — 3";10;3+;français;;"Puzzle Duo";Puzzle;Animaux,Mathématiques;Puzzle;Djeco;;
Puzzles;76161;"Mes Premiers Mots";;2015;basegame;0800512562539;0;"1 — 2";"5 — 20";"3 — 5";français;;;"Jeu D'Éveil";Animaux;Lettres;Clementoni;;
"Ludique Educatif";76160;"1 2 3 Puzzle";;2018;basegame;8059591421093;0;"1 — 2";"5 — 20";"3 — 6";français;;;"Jeu D'Éveil";Chiffres;Calcul;Headu;;
Puzzles;76160;"1 2 3 Puzzle";;2018;basegame;8059591421093;0;"1 — 2";"5 — 20";"3 — 6";français;;;"Jeu D'Éveil";Chiffres;Calcul;Headu;;
Puzzles;70043;"Mon Puzzle Aventure - Dragon";"42 pièces";2023;basegame;9782492939112;19,9;Solo;30;5+;français;;"Mon Puzzle Aventure";Puzzle;Dragons;Logique,Observation,Puzzle;"Game Flow";"Antonin Boccara,Romaric Galonnier";"Arnaud Boutle"
Puzzles;77338;"Playtive Junior - Animaux À Empiler";;2019;basegame;4056232664752;4,99;Solo;"5 — 10";3+;français;;"Playtive Junior";"Jeu D'Adresse";Animaux;"Adresse & Dextérité,Empilement,Logique,Observation,Réflexion";Playtive;;
Puzzles;68347;"Memo & Puzzle";;2020;basegame;;0;"2 — 6";10;"3 — 7";français;;Memory;Puzzle;Animaux;"Association d'idées,Collection,Mémorisation,Observation,Puzzle";Janod;;
Puzzles;52935;"Puzzle d'association - Qui mange quoi ?";"12 pièces";2021;basegame;3700408416515;0;Solo;10;2+;français;;;Puzzle;Alimentation,Animaux;Logique,Observation,Puzzle;Cultura;;
Puzzles;47687;"Puzzle - Duo Habitat";"10 puzzles";2021;basegame;3070900081642;6,95;Solo;10;2+;français;;"Puzzle Duo";"Jeu D'Éveil,Jeu Éducatif,Puzzle";Animaux,Habitation;"Association d'idées,Observation,Puzzle";Djeco;;
Puzzles;41372;"Puzzle Duo - Maman & Bébé";;2018;basegame;3070900081574;6,95;Solo;15;2+;français;;"Puzzle Duo";Puzzle;Animaux;"Association d'idées,Observation,Puzzle";Djeco;;
Puzzles;63006;"Puzzle Trio - Je m'habille";;2018;basegame;3070900081789;8;Solo;15;"3 — 6";français;;Eduludo;Puzzle;"Enfants,Vie quotidienne";Puzzle;Djeco;;
"Escape game";89927;"Unlock! - Enchanted Adventures";;2025;basegame;3558380134350;31,9;"1 — 6";90;10+;français;;Unlock!;"Escape Game,Jeu de Cartes";"Enquêtes & Mystères";Combinaison,Coopération,Déduction,Énigme,Exploration,Logique,Observation;"Space Cowboys";"Arnaud Cebollada,Cyril Demaegd,Jeremy Koch";"Adrien Cantone,Apolline Etienne,Quentin Regnes"
"Escape game";87001;"Unlock! Short Adventures - Le chant des Embruns";;2025;basegame;3558380129738;6,5;"1 — 6";45;10+;français;;"Unlock!,Unlock! Short Adventures";"Escape Game";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Logique,Observation,Roleplay;"Space Cowboys";"Cyril Demaegd";"Crocotame Studio"
"Escape game";78907;"Backstories - Les Noces d'Émeraude";;2024;basegame;3760371751112;15;"1 — 6";60;12+;français;;Backstories;"Jeu de Cartes";"Enquêtes & Mystères";"Choix multiples,Coopération,Déduction,Manipulation,Narration,Scénarios";"La Boite De Jeu";"Anthony Perone,Jules Messaud";"Gong Studios"
Enfance;48815;"Le Verger";"Édition Anniversaire - 35 Years";2021;basegame;4010168256528;38,9;"2 — 8";30;3+;français,anglais,allemand;;Verger;"Jeu de plateau";"Animaux,Corbeaux,Fruits & légumes,Oiseaux";"Chance & Hasard,Collection,Coopération";Haba;"Anneliese Farkaschovsky";"Reiner Stolte"
Enfance;84637;"Lolly Dogs";;2025;basegame;3664824002571;21,9;"2 — 4";"1 — 15";4+;français;;;"Jeu de dés";Chiens;Mémorisation;"Blue Orange";"Thierry Denoual";"Simon Douchy"
"Petite Enfance";92548;"Memo - Paw Patrol";;2024;basegame;;12,9;"2 — 6";15;"3 — 7";français,anglais,allemand,néerlandais;"Pat' Patrouille";Memory;"Jeu de Cartes";"Dessin animé";Appariement,Collection,Mémorisation,Observation;"Spin Master";;
"Ludique Educatif";31505;"Histodingo - Moyen-Age";;2019;basegame;3760052142987;13,5;"2 — 8";"15 — 30";8+;français;;;"Jeu de Cartes";Historique,Médiéval;Collection;;"François Guély,Valéry Fourcade";"Sébastien Azzi,Tom Prothière"
Famille;50473;Dixit;;2021;basegame;3558380083528,9782370990822;30;"3 — 8";30;8+;français;Dixit;Dixit;"Jeu de Cartes";Arts,Contes,Humour,Onirique;"Créativité & Imagination,Déduction,Énigme,Narration,Pari,Pioche,Vote";Libellud;"Jean-Louis Roubira";"Marie Cardouat"
"Escape game";78212;"MicroMacro Puzzle - Funfair";"500 Pièces";2024;basegame;3770033532126;19;"1 — 4";"15 — 45";10+;français;;"MicroMacro Crime City";"Jeu d'Observation,Puzzle";"Criminalité,Enquêtes & Mystères,Objets,Vie quotidienne,Ville";Coopération,Déduction,Logique,Observation,Puzzle,Scénarios;Spielwiese;"Johannes Sich";"Hard Boiled Games"
Enfance;89556;"Mon Premier Unlock! - Histoires De Canard";;2025;basegame;3558380124450;15;"1 — 4";15;4+;français;;"Asmodee Kids,Mon premier Unlock!";"Escape Game";Canards;Coopération,Déduction,Énigme,Logique,Observation;"Space Cow";"Marie Fort,Wilfried Fort";"Olivier Danchin"
Enfance;74764;"Bubble Stories Contes";;2024;basegame;3664824001819;10;"1 — 2";10;4+;français;;"Bubble Stories";"Escape Game,Jeu de Cartes";"Transport & voyage,Vacances";Coopération,Narration,Solo;"Blue Orange";"Matthew Dunstan";"Marine Cazaux"
"Ludique Educatif";81175;"Genius Gemmes";;2024;basegame;5414301526612;24,9;"1 — 2";"5 — 60";8+;français;;"Genius Duel";Casse-tête;"Pierres Précieuses";Logique,Manipulation,Observation,Puzzle;"Smart Games";"Rob Fisher";
"1 ou 2 joueurs";81175;"Genius Gemmes";;2024;basegame;5414301526612;24,9;"1 — 2";"5 — 60";8+;français;;"Genius Duel";Casse-tête;"Pierres Précieuses";Logique,Manipulation,Observation,Puzzle;"Smart Games";"Rob Fisher";
"1 ou 2 joueurs";36771;"Mosquito Show";;2020;basegame;3770005902131;22;Duo;10;8+;français,anglais;;;"Jeu de plateau";Abstrait,Animaux,Insectes,Jungle;Blocage,Collection,Déplacement,Pouvoir,Stratégie;"The Flying Games";"Andréa Mainini,Bruno Cathala";"Camille Chaussy"
Famille;25478;Affinity;;2018;basegame;3760257550013;22;"3 — 8";30;8+;français;;Affinity;"Jeu d'Ambiance,Jeu de plateau";Fantastique,Humour,Lettres,Onirique;"Choix simultanés,Combinaison,Coopération,Déduction,Expression";"Game Flow";"Clément Leclercq,Davy Bernard,Jean-Philippe Sahut,Roméo Hennion";"Emma Ferraro"
"Ludique Educatif";84231;"Timeline - Jeux et Loisirs";;2025;basegame;3558380126867;10,9;"2 — 6";15;8+;français;;Timeline;"Jeu De Connaissances";"Culture générale,Loisirs";"Placement de cartes";Asmodee,Zygomatic;"Frédéric Henry";
"Casse/ Perte";78121;"Cache-Cache - Peppa Pig";;2016;basegame;8410446462126;5;"2 — 4";"10 — 20";"2 — 6";français;"Peppa Pig";;"Jeu électronique";Cochons;Observation;Diset;;
"Casse/ Perte";74667;"Escape Room - Parc d'attractions";;2023;basegame;8715427099774;2,99;"1 — 6";60;10+;français,néerlandais;;"Escape room";"Escape Game";"Parc d'attractions";Coopération,Déduction,Énigme,Logique,Observation,Roleplay;"Sans Peur Et Sans Reproche";;
"Casse/ Perte";74762;"Escape Room - Voyage en train à travers l'Europe";;2023;basegame;8715427099798;2;"2 — 4";45;8+;français,anglais,néerlandais;;"Escape room";"Escape Game";Europe,Trains;Coopération,Déduction,Énigme,Logique,Observation,Roleplay;"Creative Craft Group";;
